sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (i);ATMOSPHERIC PRESSURE (hPa);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Altitude-atmospheric pressure ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-5.7245;3.5237;8.6018;-4.8977;3.9949;7.4983;-0.8269;-0.4712;1.1035;-0.319;0.0804;-0.2799;9.0;15.48;-11.1;-46.38;55.88;-25.64;35.86;8.0;997.46;40.269;44.235317;-76.49357;199.68;NaN;;;39.809677;;0 / 19;46;2020-11-11 01:31:13:115
-6.1675;2.2045;6.7846;-5.0778;3.2824;7.7209;-1.0896;-1.0779;-0.9363;-0.8605;0.2461;0.3675;9.0;16.86;-10.62;-45.78;49.19;-24.04;33.15;8.0;997.46;40.269;44.235317;-76.49357;199.68;NaN;;;39.809677;;0 / 19;545;2020-11-11 01:31:13:614
-6.1675;2.2045;6.7846;-5.0778;3.2824;7.7209;-1.0896;-1.0779;-0.9363;-0.8605;0.2461;0.3675;9.0;16.86;-10.62;-45.78;49.19;-24.04;33.15;8.0;997.46;40.269;44.235317;-76.49357;199.68;NaN;;;39.809677;;0 / 19;1044;2020-11-11 01:31:14:113
-6.1675;2.2045;6.7846;-5.0778;3.2824;7.7209;-1.0896;-1.0779;-0.9363;-0.8605;0.2461;0.3675;9.0;16.86;-10.62;-45.78;49.19;-24.04;33.15;8.0;997.46;40.269;44.235317;-76.49357;199.68;NaN;;;39.809677;;0 / 19;1544;2020-11-11 01:31:14:613
-8.2193;-1.1618;3.3776;-9.1369;-2.5287;2.5084;0.1874;-3.1078;-0.3327;-0.6695;-0.3542;-0.2439;0.0;38.58;25.44;-13.14;350.07;13.08;67.89;0.0;1000.95;40.269;44.235317;-76.49357;199.68;NaN;;;39.809677;;0 / 19;2051;2020-11-11 01:31:15:120
-12.3301;0.0449;7.1605;-9.0941;-2.9071;2.2396;-3.236;2.952;4.9208;-0.3609;0.2945;-0.3465;0.0;37.32;25.98;-17.82;27.24;14.94;74.65;0.0;1000.68;62.666;44.235317;-76.49357;199.68;NaN;;;39.809677;;0 / 19;2544;2020-11-11 01:31:15:613
-10.0676;-2.0405;2.1422;-9.2145;-2.3504;2.3955;-0.8531;0.31;-0.2533;0.4788;-0.2258;0.4692;0.0;39.48;24.3;-8.64;353.09;21.66;75.7;0.0;997.66;62.666;44.235317;-76.49357;199.68;NaN;;;39.809677;;0 / 19;3044;2020-11-11 01:31:16:113
-8.3414;-2.1889;3.9283;-9.0385;-2.071;3.1918;0.6971;-0.1179;0.7365;-1.2589;-0.0783;-0.9334;0.0;40.44;23.22;-10.86;347.9;12.19;70.55;0.0;997.41;51.828;44.235317;-76.49357;199.68;NaN;;;39.809677;;0 / 19;3544;2020-11-11 01:31:16:613
-1.2306;-0.4148;10.3352;-8.3986;-3.8343;3.3064;7.168;3.4195;7.0288;0.334;-0.5731;-0.6045;0.0;40.56;22.44;-13.92;329.09;23.02;68.51;0.0;997.42;65.923;44.235317;-76.49357;199.68;NaN;;;39.809677;;0 / 19;4044;2020-11-11 01:31:17:113
-9.6845;-4.7268;4.3856;-6.7917;-3.2605;6.2779;-2.8928;-1.4662;-1.8923;3.6858;-4.2057;1.2251;0.0;40.02;23.34;-13.8;294.06;25.93;63.76;0.0;997.51;65.923;44.235317;-76.49357;199.68;NaN;;;39.809677;;0 / 19;4544;2020-11-11 01:31:17:613
-4.3407;-1.3701;9.5355;-4.0713;-1.559;8.7843;-0.2694;0.189;0.7512;1.5393;-0.7912;0.2168;0.0;23.82;30.06;-27.72;336.16;19.32;29.3;0.0;997.71;58.554;44.235317;-76.49357;199.68;NaN;;;39.809677;;0 / 19;5044;2020-11-11 01:31:18:113
