sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (i);ATMOSPHERIC PRESSURE (hPa);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Altitude-atmospheric pressure ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-1.6664;2.3146;7.7518;3.0024;-0.6071;-9.3159;-4.6687;2.9217;17.0678;1.1345;-2.1928;-0.0871;0.0;8.4;-22.98;-45.18;215.62;10.48;-156.76;8.0;997.62;56.861;44.235317;-76.493515;303.23;NaN;;0.0;25.806452;;7 / 22;15;2020-11-11 01:29:42:929
-2.332;2.0129;2.1901;4.8021;-5.5044;-6.5431;-7.134;7.5173;8.7332;0.0434;1.355;0.0298;0.0;6.78;-23.94;-45.24;245.22;18.44;-142.29;8.0;997.63;60.563;44.23532;-76.4935;303.23;NaN;;0.0;29.032257;;7 / 22;515;2020-11-11 01:29:43:429
1.9178;-0.8697;-7.8105;0.1836;-9.6997;-1.4323;1.7341;8.83;-6.3782;1.9169;0.4115;1.3824;0.0;3.12;-32.52;-35.4;207.81;79.18;-27.23;0.0;997.82;46.158;44.23532;-76.4935;303.23;NaN;;0.0;29.032257;;7 / 22;1015;2020-11-11 01:29:43:929
17.5758;19.6127;-8.7777;-3.0529;-8.734;-3.2506;20.6287;28.3467;-5.5271;0.7577;1.4139;2.1963;0.0;-12.18;-45.9;-4.2;214.73;62.72;156.53;0.0;997.69;60.172;44.23532;-76.4935;303.23;NaN;;0.0;29.032257;;7 / 22;1515;2020-11-11 01:29:44:429
-1.8316;-1.011;2.9203;-3.8521;-7.3789;-5.185;2.0205;6.3679;8.1053;-0.4125;0.0565;-0.0461;0.0;-27.36;-41.34;3.42;234.89;47.75;133.5;0.0;997.58;55.54;44.23532;-76.4935;303.23;NaN;;0.0;29.032257;;7 / 22;2015;2020-11-11 01:29:44:929
15.6748;18.5473;-17.2748;-3.8967;-8.997;-0.1992;19.5715;27.5443;-17.0755;0.0415;-0.7832;1.1902;0.0;-38.22;-30.72;1.68;307.4;64.87;119.83;0.0;997.66;55.204;44.23532;-76.4935;303.23;NaN;;0.0;29.032257;;7 / 22;2515;2020-11-11 01:29:45:429
-2.0662;0.4854;1.716;-4.0305;-7.963;-4.0639;1.9643;8.4484;5.78;0.0866;0.7089;0.0535;0.0;-43.02;-24.06;8.76;302.49;56.08;113.72;0.0;997.5;62.996;44.23532;-76.4935;303.23;NaN;;0.0;29.032257;;7 / 22;3015;2020-11-11 01:29:45:929
-6.1052;-4.4011;15.0996;-2.5438;-7.9851;-5.0929;-3.5614;3.5839;20.1925;-0.2969;2.3348;0.2514;0.0;-45.84;-22.14;8.46;290.44;61.67;133.66;0.0;997.55;55.823;44.23532;-76.4935;303.23;NaN;;0.0;29.032257;;7 / 22;3515;2020-11-11 01:29:46:429
6.7445;19.6127;-1.1522;1.5353;-8.4143;-4.797;5.2091;28.027;3.6448;1.1792;-2.212;-0.1071;0.0;-44.22;-30.84;-5.1;238.97;56.15;-159.95;0.0;997.72;58.053;44.23532;-76.4935;303.23;NaN;;0.0;29.032257;;7 / 22;4015;2020-11-11 01:29:46:929
-0.7709;-2.0668;-1.485;0.91;-8.7372;-4.3592;-1.6809;6.6704;2.8742;0.2344;-0.0703;-0.2645;0.0;-37.26;-38.04;-8.16;247.95;65.4;-168.62;0.0;997.57;61.747;44.23532;-76.4935;303.23;NaN;;0.0;29.032257;;7 / 22;4515;2020-11-11 01:29:47:429
0.5243;2.384;0.7751;-0.534;-8.8533;-4.1839;1.0584;11.2373;4.959;1.0152;-0.5587;-0.3513;0.0;-31.32;-42.42;-5.7;246.28;57.06;168.81;0.0;997.58;53.401;44.23532;-76.4935;303.23;NaN;;0.0;29.032257;;7 / 22;5048;2020-11-11 01:29:47:962
15.4091;6.6266;0.1095;-1.8369;-9.0345;-3.3427;17.2459;15.661;3.4523;-1.0871;0.8227;2.3351;0.0;-34.38;-42.42;-3.12;248.23;64.94;177.07;0.0;997.55;50.783;44.23532;-76.4935;303.23;NaN;;0.0;29.032257;;7 / 22;5515;2020-11-11 01:29:48:429
-1.0008;4.6082;3.7894;0.8193;-7.7921;-5.8976;-1.8201;12.4003;9.687;-0.2884;-0.1691;-0.4221;0.0;-36.96;-40.56;-2.58;236.03;51.17;-176.75;0.0;997.84;57.601;44.23532;-76.4935;303.23;NaN;;0.0;29.032257;;7 / 22;6016;2020-11-11 01:29:48:930
0.8811;1.0696;0.9307;2.3597;-6.164;-7.2531;-1.4786;7.2336;8.1838;-0.3049;-0.3467;-0.0618;0.0;-35.46;-38.4;-3.6;222.37;36.04;-156.22;0.0;997.58;58.99;44.23532;-76.4935;303.23;NaN;;0.0;29.032257;;7 / 22;6515;2020-11-11 01:29:49:429
-2.5067;-3.7044;9.2458;0.6347;-5.9813;-7.7454;-3.1414;2.2768;16.9912;-0.6043;-1.1103;-1.7979;0.0;-34.26;-35.88;-4.08;230.91;37.58;-175.32;0.0;997.76;56.693;44.23532;-76.4935;303.23;NaN;;0.0;29.032257;;7 / 22;7015;2020-11-11 01:29:49:929
8.8226;19.6127;-6.8624;2.3202;-4.238;-8.5338;6.5024;23.8507;1.6714;1.595;0.4493;0.0501;0.0;-35.46;-35.04;-3.96;225.8;25.6;-164.79;0.0;997.72;40.688;44.23532;-76.4935;303.23;NaN;;0.0;29.032257;;6 / 22;7515;2020-11-11 01:29:50:429
-2.296;-0.1443;1.0576;2.5832;-4.4443;-8.3513;-4.8793;4.3001;9.4089;-0.2144;0.1292;-0.2439;0.0;-36.36;-34.92;-1.98;224.86;26.95;-162.81;0.0;997.7;46.496;44.23532;-76.4935;303.23;NaN;;0.0;29.032257;;6 / 22;8015;2020-11-11 01:29:50:929
0.261;2.4535;0.2699;4.0732;-3.1111;-8.3606;-3.8122;5.5646;8.6306;-0.0658;-0.881;-0.0016;0.0;-35.82;-35.28;-2.52;220.75;17.53;-150.18;0.0;997.6;52.059;44.23532;-76.4935;303.23;NaN;;0.0;29.032257;;6 / 22;8515;2020-11-11 01:29:51:429
-5.9783;-2.7491;11.142;2.7421;-3.355;-8.7974;-8.7204;0.6059;19.9394;0.7507;0.7611;1.7401;0.0;-34.74;-35.22;-6.0;224.87;13.71;-161.63;0.0;998.79;57.574;44.23532;-76.4935;303.23;NaN;;0.0;29.032257;;6 / 22;9015;2020-11-11 01:29:51:929
