sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (i);ATMOSPHERIC PRESSURE (hPa);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Altitude-atmospheric pressure ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-0.7398;8.8795;4.2563;1.071;9.0916;3.5166;-1.8108;-0.2121;0.7396;3.236;0.6487;1.7335;0.0;-7.8;-33.48;-39.6;82.76;-41.13;2.32;8.0;997.46;40.628;44.23534;-76.49352;264.52;NaN;;0.0;51.612904;;7 / 20;26;2020-11-11 01:25:03:737
8.3031;8.1756;-4.5592;3.9412;8.3134;-3.3949;4.3619;-0.1378;-1.1643;0.478;-0.421;1.016;0.0;-14.88;-36.78;-19.86;224.4;-68.1;-151.02;0.0;997.53;51.882;44.23534;-76.49352;264.52;NaN;;0.0;51.612904;;7 / 20;525;2020-11-11 01:25:04:236
-3.4381;1.1965;5.1661;3.9777;7.1299;-5.4325;-7.4158;-5.9334;10.5986;1.1683;0.6218;0.0418;0.0;-25.14;-35.4;18.9;256.5;-46.64;-143.79;0.0;997.5;51.03;44.235344;-76.493484;270.97;NaN;;0.0;61.290325;;7 / 20;1025;2020-11-11 01:25:04:736
12.0357;18.0637;-2.8282;6.2555;4.2503;-6.2429;5.7801;13.8134;3.4147;-3.2158;-2.1004;-1.277;0.0;-25.74;-30.84;27.42;176.35;-25.68;-134.94;0.0;997.63;56.519;44.235344;-76.493484;270.97;NaN;;0.0;61.290325;;7 / 20;1525;2020-11-11 01:25:05:236
0.8787;10.1604;-4.1186;-0.7175;7.7484;-5.9681;1.5962;2.412;1.8495;-1.7311;-0.5009;-0.2248;0.0;-20.94;-34.92;24.48;259.01;-52.2;173.14;0.0;997.59;64.289;44.235336;-76.493484;270.97;NaN;;4.28;74.19355;308.2;7 / 20;2025;2020-11-11 01:25:05:736
-3.5314;10.2538;-5.7898;-5.7074;6.43;-4.7172;-6.7377;3.1247;-1.4198;-0.6346;0.9766;-0.0208;0.0;-0.66;-42.12;24.24;220.77;-40.97;129.57;0.0;998.79;54.949;44.235336;-76.493484;270.97;NaN;;4.28;74.19355;308.2;7 / 20;2525;2020-11-11 01:25:06:236
-2.1715;0.4711;-1.0756;-5.7329;6.3057;-4.852;3.5614;-5.8346;3.7764;0.5089;-0.9705;-0.4053;0.0;18.3;-41.7;27.78;230.19;-41.35;122.72;0.0;997.58;52.903;44.235306;-76.4935;277.42;NaN;;9.11;80.64516;197.1;7 / 20;3025;2020-11-11 01:25:06:736
-6.3422;10.4573;-7.0826;-6.8179;5.9285;-3.8131;0.4756;4.5288;-3.2695;0.3627;-1.6381;0.9151;0.0;21.84;-42.18;24.66;186.26;-34.83;135.73;0.0;996.71;51.837;44.235306;-76.4935;277.42;NaN;;9.11;80.64516;197.1;7 / 20;3527;2020-11-11 01:25:07:238
-1.8866;3.945;-3.6877;-4.6399;2.4185;-8.2941;3.4931;-4.7463;10.3836;-0.5758;0.7862;-0.6386;0.0;20.58;-44.1;22.14;191.33;-30.89;127.88;0.0;997.52;54.301;44.23529;-76.49348;280.65;NaN;;11.45;96.77419;180.4;7 / 20;4025;2020-11-11 01:25:07:736
-1.2019;14.185;-7.4873;-2.4495;-3.9469;-8.6366;1.7671;6.635;8.0351;-0.1222;1.2184;0.0621;0.0;18.36;-47.1;19.38;168.99;13.38;158.98;0.0;998.0;64.588;44.23529;-76.49348;280.65;NaN;;11.45;96.77419;180.4;7 / 20;4525;2020-11-11 01:25:08:236
-1.9896;-0.1275;-0.0437;0.8117;-7.03;-6.7889;-2.8012;6.9025;6.7453;-0.9521;1.5947;0.265;0.0;18.12;-47.76;19.32;156.12;45.8;-173.18;0.0;997.46;70.97;44.23528;-76.493454;280.65;NaN;;8.24;103.22581;158.4;7 / 20;5025;2020-11-11 01:25:08:736
-1.0822;1.1726;-0.8601;3.6309;-6.9054;-5.9416;-4.7131;8.0779;5.0814;0.3617;-0.4477;1.1779;0.0;18.24;-47.88;19.26;144.85;46.74;-144.35;0.0;997.03;72.279;44.23528;-76.493454;280.65;NaN;;8.24;103.22581;158.4;7 / 20;5525;2020-11-11 01:25:09:236
-5.4731;7.759;2.6713;2.5607;-7.7972;-5.3682;-16.0951;25.9997;1.5321;-0.3228;-1.0059;-0.8884;0.0;19.14;-46.62;21.36;137.11;55.84;-141.24;0.0;997.0;69.85;44.235256;-76.49347;280.65;NaN;;11.12;112.90322;183.6;7 / 20;6025;2020-11-11 01:25:09:736
1.9369;3.2699;0.2269;4.9431;-7.3488;-4.2108;-6.303;8.2652;7.6147;-0.4189;0.2967;-0.4661;0.0;18.96;-45.72;24.12;138.54;43.53;-131.72;0.0;996.9;70.648;44.235226;-76.49346;280.65;NaN;;11.7;125.80645;173.6;7 / 20;6525;2020-11-11 01:25:10:236
